fees_status,day,month,advertising_channel,advertisement,enrolled_courses,paid_fees,number_of_phone_calls,average_call_duration,training_models,training_levels,area_code,sale_team,consultant
Paid,13,Sep,Facebook Page,AD01-9365,1,"EGP 19,000,000 ",6,2:00,BE,Fndn. L3,A7,Salah,Dina
Paid,25,Sep,Facebook Page,AD01-9362,3,"EGP 15,000,000 ",4,2:00,GK,KJI. L4,A1,Ahmed,Hany
Paid,30,Sep,Youtube Channel,AD01-9361,2,"EGP 12,000,000 ",4,2:00,GK,KJI. L4,A1,Mohammed,Kisho
Paid,26,Oct,Television Ad,AD01-9363,4,"EGP 11,000,000 ",1,2:00,CNI,Pre. L8,B13,Ahmed,Hany
Paid,28,Oct,Company Website,AD01-9361,2,"EGP 12,000,000 ",1,2:00,GK,Pre. L4,A1,Ahmed,Khalil
Paid,28,Oct,Google Ad,AD01-9361,1,"EGP 7,000,000 ",3,2:00,GK,Fndn. L1,C8,Salah,Dary
Paid,24,Nov,Company Website,AD01-9363,4,"EGP 20,000,000 ",7,2:00,GK,Fndn. L5,A1,Mohammed,Habib
Paid,26,Nov,Television Ad,AD01-9362,5,"EGP 25,000,000 ",3,2:00,GK,Pre. L3,A4,Salah,Ahmed
Paid,1,Nov,Television Ad,AD01-9362,3,"EGP 15,000,000 ",2,2:00,GK,Fndn. L3,B12,Mohammed,Kisho
Paid,30,Nov,WhatsApp,AD01-9361,5,"EGP 21,000,000 ",3,2:00,GK,Pre. L3,B18,Mohammed,Mohmed
Paid,11,Feb,Youtube Channel,AD01-9364,2,"EGP 38,000,000 ",3,2:00,BE,Fndn. L1,A2,Salah,Dary
Not Paid,11,Nov,Google Ad,AD01-9362,0,EGP 0,2,2:00,,,B13,Abdullah,Adam
Not Paid,29,Nov,Television Ad,AD01-9362,0,EGP 0,3,2:00,,,B18,Mohammed,Mohmed
Paid,12,Feb,Facebook Page,AD01-9364,1,"EGP 19,000,000 ",5,2:00,BE,Fndn. L3,B18,Ahmed,Hany
Paid,11,Mar,Television Ad,AD01-9362,4,"EGP 20,000,000 ",1,2:00,GK,Fndn. L5,A1,Mohammed,Rony
Paid,19,Oct,Google Ad,AD01-9361,4,"EGP 11,000,000 ",1,2:00,CNI,Pre. L3,A2,Salah,Jood
Paid,5,Oct,Google Ad,AD01-9361,5,"EGP 25,000,000 ",2,2:00,GK,Pre. L3,A1,Abdullah,Reham
Paid,22,Oct,Youtube Channel,AD01-9361,2,"EGP 12,000,000 ",2,2:00,GK,Pre. L3,A4,Salah,Sahar
Paid,8,Oct,Google Ad,AD01-9362,2,"EGP 12,000,000 ",3,2:00,GK,KJI. L4,B12,Mohammed,Rony
Paid,22,Nov,WhatsApp,AD01-9362,3,"EGP 15,000,000 ",1,2:00,GK,Fndn. L6,A4,Salah,Dina
Paid,11,Nov,Company Website,AD01-9363,5,"EGP 21,000,000 ",4,2:00,GK,KJI. L4,A7,Mohammed,Kisho
Paid,17,Nov,Television Ad,AD01-9362,3,"EGP 15,000,000 ",1,2:00,GK,Fndn. L5,B18,Mohammed,Rony
Paid,12,Feb,Facebook Page,AD01-9364,1,"EGP 19,000,000 ",5,2:00,BE,Fndn. L3,B18,Ahmed,Hany
Paid,11,Mar,Television Ad,AD01-9362,4,"EGP 20,000,000 ",1,2:00,GK,Fndn. L5,A1,Mohammed,Rony
Not Paid,5,May,Television Ad,AD01-9361,0,EGP 0,1,2:00,,,B12,Salah,John
Not Paid,29,Sep,Television Ad,AD01-9362,0,EGP 0,4,2:00,,,B18,Salah,Dina
Not Paid,11,Oct,Company Website,AD01-9362,0,EGP 0,1,2:00,,,C8,Abdullah,Hisham
Not Paid,23,Nov,WhatsApp,AD01-9361,0,EGP 0,1,2:00,,,A1,Mohammed,Rony
Not Paid,5,May,Television Ad,AD01-9361,0,EGP 0,1,2:00,,,B12,Salah,John
Paid,2,Jan,Facebook Page,AD01-9362,4,"EGP 15,000,000 ",3,2:00,GK,Pre. L8,B13,Salah,Sahar
Paid,11,Feb,WhatsApp,AD01-9362,2,"EGP 12,000,000 ",1,2:00,GK,KJI. L4,B13,Salah,Dary
Paid,1,May,Facebook Page,AD01-9363,1,"EGP 19,000,000 ",2,2:00,BE,Fndn. L1,A1,Abdullah,Hisham
Paid,1,Jun,Google Ad,AD01-9361,3,"EGP 15,000,000 ",2,2:00,GK,Pre. L3,C8,Mohammed,Rony
Paid,12,Sep,Youtube Channel,AD01-9362,2,"EGP 38,000,000 ",6,2:00,BE,Fndn. L3,A1,Salah,John
Paid,7,Sep,Television Ad,AD01-9361,5,"EGP 21,000,000 ",5,2:00,GK,Pre. L8,B12,Mohammed,Kisho
Paid,11,Sep,Company Website,AD01-9362,5,"EGP 25,000,000 ",5,2:00,GK,Fndn. L1,A2,Mohammed,Rony
Paid,29,Sep,Google Ad,AD01-9362,1,"EGP 7,000,000 ",2,2:00,GK,Pre. L2,A4,Ahmed,Hany
Paid,3,Oct,WhatsApp,AD01-9362,2,"EGP 38,000,000 ",3,2:00,BE,Fndn. L5,A1,Abdullah,Hisham
Paid,6,Oct,WhatsApp,AD01-9362,1,"EGP 19,000,000 ",1,2:00,BE,KJI. L4,A4,Ahmed,Khalil
Paid,26,Oct,Television Ad,AD01-9361,4,"EGP 20,000,000 ",3,2:00,CNI,KJI. L4,B18,Salah,John
Paid,1,Oct,Television Ad,AD01-9364,1,"EGP 7,000,000 ",4,2:00,GK,Fndn. L5,A1,Mohammed,Rony
Paid,1,Oct,Facebook Page,AD01-9361,2,"EGP 12,000,000 ",4,2:00,GK,Pre. L3,A1,Salah,Ahmed
Paid,30,Oct,WhatsApp,AD01-9362,3,"EGP 15,000,000 ",2,2:00,GK,Fndn. L6,B18,Mohammed,Kisho
Paid,3,Nov,Facebook Page,AD01-9361,4,"EGP 20,000,000 ",6,2:00,CNI,Fndn. L5,A2,Abdullah,Reham
Paid,3,Nov,WhatsApp,AD01-9363,5,"EGP 25,000,000 ",2,2:00,GK,Pre. L4,B12,Salah,Dary
Paid,10,Nov,Facebook Page,AD01-9362,2,"EGP 12,000,000 ",1,2:00,GK,Pre. L2,B12,Salah,Ahmed
Paid,2,Nov,Company Website,AD01-9361,5,"EGP 25,000,000 ",1,2:00,GK,Fndn. L5,B18,Mohammed,Mohmed
Paid,16,Dec,Television Ad,AD01-9361,3,"EGP 12,000,000 ",3,2:00,GK,Fndn. L3,A2,Ahmed,Khalil
Paid,1,Dec,Company Website,AD01-9362,2,"EGP 10,000,000 ",2,2:00,GK,Fndn. L1,C8,Abdullah,Hisham
Paid,2,Jan,Facebook Page,AD01-9362,4,"EGP 15,000,000 ",3,2:00,GK,Pre. L8,B13,Salah,Sahar
Paid,11,Feb,WhatsApp,AD01-9362,2,"EGP 12,000,000 ",1,2:00,GK,KJI. L4,B13,Salah,Dary
Paid,1,May,Facebook Page,AD01-9363,1,"EGP 19,000,000 ",2,2:00,BE,Fndn. L1,A1,Abdullah,Hisham
Paid,1,Jun,Google Ad,AD01-9361,3,"EGP 15,000,000 ",2,2:00,GK,Pre. L3,C8,Mohammed,Rony
Not Paid,23,Sep,Youtube Channel,AD01-9361,0,EGP 0,1,2:00,,,B18,Abdullah,Reham
Not Paid,9,Oct,Facebook Page,AD01-9365,0,EGP 0,1,2:00,,,A2,Abdullah,Reham
Not Paid,23,Oct,Facebook Page,AD01-9363,0,EGP 0,1,2:00,,,A7,Ahmed,Khalil
Not Paid,4,Oct,Television Ad,AD01-9362,0,EGP 0,2,2:00,,,B12,Mohammed,Mohmed
Not Paid,8,Dec,Television Ad,AD01-9364,0,EGP 0,6,2:00,,,B12,Mohammed,Habib
Not Paid,10,Dec,Facebook Page,AD01-9362,0,EGP 0,1,2:00,,,C8,Ahmed,Khalil
Paid,11,Feb,Television Ad,AD01-9361,4,"EGP 20,000,000 ",1,2:00,GK,Pre. L2,B13,Ahmed,Hany
Paid,1,Apr,Google Ad,AD01-9362,2,"EGP 12,000,000 ",1,2:00,GK,Fndn. L5,A2,Mohammed,Kenza
Paid,13,Jun,Television Ad,AD01-9361,5,"EGP 21,000,000 ",4,2:00,GK,Fndn. L6,A4,Ahmed,Khalil
Paid,28,Aug,WhatsApp,AD01-9362,4,"EGP 11,000,000 ",2,2:00,CNI,KJI. L4,A4,Abdullah,Reham
Paid,27,Oct,Television Ad,AD01-9362,1,"EGP 19,000,000 ",2,2:00,BE,Pre. L3,B12,Salah,Dary
Paid,9,Oct,Television Ad,AD01-9364,3,"EGP 15,000,000 ",1,2:00,GK,Pre. L2,C8,Mohammed,Kisho
Paid,19,Oct,Television Ad,AD01-9362,5,"EGP 25,000,000 ",3,2:00,GK,KJI. L4,B18,Mohammed,Kisho
Paid,3,Nov,Television Ad,AD01-9362,2,"EGP 12,000,000 ",4,2:00,GK,KJI. L4,A7,Abdullah,Hisham
Paid,12,Nov,Google Ad,AD01-9364,3,"EGP 15,000,000 ",2,2:00,GK,Pre. L4,B12,Abdullah,Adam
Paid,15,Dec,Television Ad,AD01-9361,2,"EGP 38,000,000 ",1,2:00,BE,Fndn. L5,A2,Mohammed,Kenza
Paid,11,Feb,Television Ad,AD01-9361,4,"EGP 20,000,000 ",1,2:00,GK,Pre. L2,B13,Ahmed,Hany
Paid,1,Apr,Google Ad,AD01-9362,2,"EGP 12,000,000 ",1,2:00,GK,Fndn. L5,A2,Mohammed,Kenza
Paid,13,Jun,Television Ad,AD01-9361,5,"EGP 21,000,000 ",4,2:00,GK,Fndn. L6,A4,Ahmed,Khalil
Paid,28,Aug,WhatsApp,AD01-9362,4,"EGP 11,000,000 ",2,2:00,CNI,KJI. L4,A4,Abdullah,Reham
Not Paid,12,Jan,Television Ad,AD01-9361,0,EGP 0,1,2:00,,,A2,Mohammed,Habib
Not Paid,30,Dec,Company Website,AD01-9363,0,EGP 0,5,2:00,,,A1,Salah,Ahmed
Not Paid,30,Dec,Company Website,AD01-9362,0,EGP 0,3,2:00,,,C8,Salah,Dary
Not Paid,12,Jan,Television Ad,AD01-9361,0,EGP 0,1,2:00,,,A2,Mohammed,Habib
Paid,11,Feb,WhatsApp,AD01-9362,2,"EGP 38,000,000 ",5,2:00,BE,Fndn. L6,A2,Mohammed,Kisho
Paid,15,Aug,Television Ad,AD01-9361,3,"EGP 15,000,000 ",2,2:00,GK,Pre. L3,B12,Salah,Dary
Paid,30,Sep,WhatsApp,AD01-9361,1,"EGP 19,000,000 ",4,2:00,BE,Fndn. L5,C8,Salah,Jood
Paid,23,Sep,Television Ad,AD01-9361,2,"EGP 12,000,000 ",2,2:00,GK,Fndn. L1,B13,Abdullah,Reham
Paid,30,Sep,WhatsApp,AD01-9362,4,"EGP 20,000,000 ",4,2:00,GK,KJI. L4,A1,Salah,Sahar
Paid,11,Sep,WhatsApp,AD01-9361,3,"EGP 15,000,000 ",3,2:00,GK,Fndn. L5,A4,Mohammed,Mohmed
Paid,4,Sep,Television Ad,AD01-9364,3,"EGP 11,000,000 ",2,2:00,GK,Fndn. L5,B18,Ahmed,Hany
Paid,12,Sep,Television Ad,AD01-9361,2,"EGP 12,000,000 ",1,2:00,GK,Pre. L3,B18,Mohammed,Mohmed
Paid,9,Sep,WhatsApp,AD01-9365,5,"EGP 21,000,000 ",1,2:00,GK,Fndn. L3,C8,Mohammed,Mohmed
Paid,26,Oct,Facebook Page,AD01-9362,2,"EGP 38,000,000 ",3,2:00,BE,Fndn. L1,B18,Salah,Dary
Paid,18,Oct,Google Ad,AD01-9362,4,"EGP 11,000,000 ",2,2:00,CNI,Pre. L4,A7,Ahmed,Khalil
Paid,29,Oct,Google Ad,AD01-9361,3,"EGP 15,000,000 ",2,2:00,GK,KJI. L4,A2,Abdullah,Adam
Paid,27,Oct,Google Ad,AD01-9362,5,"EGP 25,000,000 ",4,2:00,GK,Pre. L3,B12,Mohammed,Rony
Paid,15,Nov,WhatsApp,AD01-9364,4,"EGP 15,000,000 ",1,2:00,GK,Pre. L3,A1,Mohammed,Mohmed
Paid,16,Nov,Youtube Channel,AD01-9361,2,"EGP 12,000,000 ",3,2:00,GK,Fndn. L6,B12,Ahmed,Khalil
Paid,27,Nov,Google Ad,AD01-9364,5,"EGP 20,000,000 ",1,2:00,GK,KJI. L4,A1,Salah,John
Paid,3,Nov,Facebook Page,AD01-9361,2,"EGP 12,000,000 ",4,2:00,GK,KJI. L4,B12,Ahmed,Hany
Paid,26,Nov,WhatsApp,AD01-9361,3,"EGP 12,000,000 ",1,2:00,GK,KJI. L4,C8,Abdullah,Hisham
Paid,22,Dec,Television Ad,AD01-9362,2,"EGP 12,000,000 ",4,2:00,GK,Pre. L4,A2,Salah,Dary
Paid,24,Dec,Television Ad,AD01-9362,1,"EGP 7,000,000 ",2,2:00,GK,Pre. L3,A2,Abdullah,Hisham
Paid,24,Dec,Television Ad,AD01-9365,5,"EGP 25,000,000 ",2,2:00,GK,KJI. L4,B12,Ahmed,Khalil
Paid,11,Feb,WhatsApp,AD01-9362,2,"EGP 38,000,000 ",5,2:00,BE,Fndn. L6,A2,Mohammed,Kisho
Paid,15,Aug,Television Ad,AD01-9361,3,"EGP 15,000,000 ",2,2:00,GK,Pre. L3,B12,Salah,Dary
Not Paid,17,Mar,Company Website,AD01-9361,0,EGP 0,2,2:00,,,A1,Mohammed,Rony
Not Paid,6,Aug,Television Ad,AD01-9364,0,EGP 0,1,2:00,,,B12,Abdullah,Hisham
Not Paid,18,Sep,Television Ad,AD01-9361,0,EGP 0,1,2:00,,,C8,Abdullah,Reham
Not Paid,11,Nov,Youtube Channel,AD01-9362,0,EGP 0,4,2:00,,,B18,Mohammed,Kisho
Not Paid,21,Dec,Google Ad,AD01-9361,0,EGP 0,1,2:00,,,A4,Salah,John
Not Paid,17,Mar,Company Website,AD01-9361,0,EGP 0,2,2:00,,,A1,Mohammed,Rony
Paid,12,Jan,Company Website,AD01-9361,2,"EGP 12,000,000 ",1,2:00,GK,Fndn. L5,A2,Mohammed,Kenza
Paid,1,Apr,Facebook Page,AD01-9362,4,"EGP 20,000,000 ",1,2:00,GK,Fndn. L3,A2,Mohammed,Habib
Paid,27,Aug,Television Ad,AD01-9361,4,"EGP 11,000,000 ",1,2:00,CNI,Pre. L2,B13,Abdullah,Reham
Paid,26,Aug,Youtube Channel,AD01-9364,3,"EGP 15,000,000 ",1,2:00,GK,Pre. L4,B12,Mohammed,Rony
Paid,30,Sep,Facebook Page,AD01-9362,3,"EGP 15,000,000 ",1,2:00,GK,Fndn. L5,B12,Abdullah,Hisham
Paid,11,Sep,Facebook Page,AD01-9364,2,"EGP 12,000,000 ",5,2:00,GK,Pre. L8,B18,Salah,Dina
Paid,28,Oct,Television Ad,AD01-9364,5,"EGP 21,000,000 ",3,2:00,GK,Fndn. L1,B13,Mohammed,Mohmed
Paid,8,Oct,Google Ad,AD01-9364,2,"EGP 12,000,000 ",2,2:00,GK,Fndn. L1,A2,Salah,Ahmed
Paid,25,Oct,Television Ad,AD01-9361,5,"EGP 25,000,000 ",1,2:00,GK,KJI. L4,B18,Ahmed,Khalil
Paid,2,Oct,Facebook Page,AD01-9361,3,"EGP 15,000,000 ",3,2:00,GK,KJI. L4,C8,Salah,Ahmed
Paid,29,Oct,Television Ad,AD01-9361,2,"EGP 12,000,000 ",1,2:00,GK,Pre. L3,C8,Mohammed,Rony
Paid,6,Nov,Company Website,AD01-9361,3,"EGP 15,000,000 ",1,2:00,GK,KJI. L4,A1,Mohammed,Mohmed
Paid,19,Nov,Television Ad,AD01-9361,3,"EGP 15,000,000 ",5,2:00,GK,Pre. L3,A1,Mohammed,Mohmed
Paid,22,Nov,Google Ad,AD01-9361,2,"EGP 12,000,000 ",2,2:00,GK,Fndn. L5,B13,Salah,Dary
Paid,3,Nov,Company Website,AD01-9362,5,"EGP 25,000,000 ",3,2:00,GK,Fndn. L1,A4,Salah,Sahar
Paid,2,Nov,Company Website,AD01-9362,5,"EGP 25,000,000 ",1,2:00,GK,Pre. L3,C8,Salah,Ahmed
Paid,1,Dec,Facebook Page,AD01-9362,4,"EGP 20,000,000 ",4,2:00,GK,Pre. L8,C8,Mohammed,Mohmed
Paid,17,Dec,Youtube Channel,AD01-9364,3,"EGP 15,000,000 ",5,2:00,GK,Fndn. L1,C8,Abdullah,Reham
Paid,2,Dec,Facebook Page,AD01-9364,2,"EGP 12,000,000 ",2,2:00,GK,Pre. L3,A7,Salah,Sahar
Paid,12,Jan,Company Website,AD01-9361,2,"EGP 12,000,000 ",1,2:00,GK,Fndn. L5,A2,Mohammed,Kenza
Paid,1,Apr,Facebook Page,AD01-9362,4,"EGP 20,000,000 ",1,2:00,GK,Fndn. L3,A2,Mohammed,Habib
Paid,27,Aug,Television Ad,AD01-9361,4,"EGP 11,000,000 ",1,2:00,CNI,Pre. L2,B13,Abdullah,Reham
Not Paid,6,Jan,Television Ad,AD01-9364,0,EGP 0,4,2:00,,,C8,Salah,Dary
Not Paid,28,May,WhatsApp,AD01-9364,0,EGP 0,1,2:00,,,B18,Salah,Sahar
Not Paid,5,Oct,Facebook Page,AD01-9362,0,EGP 0,3,2:00,,,A1,Ahmed,Khalil
Not Paid,4,Dec,WhatsApp,AD01-9365,0,EGP 0,4,2:00,,,A2,Abdullah,Reham
Not Paid,28,Dec,WhatsApp,AD01-9363,0,EGP 0,2,2:00,,,A2,Mohammed,Rony
Not Paid,10,Dec,Television Ad,AD01-9361,0,EGP 0,1,2:00,,,A4,Mohammed,Kisho
Not Paid,30,Dec,WhatsApp,AD01-9361,0,EGP 0,2,2:00,,,A7,Salah,Dina
Not Paid,6,Jan,Television Ad,AD01-9364,0,EGP 0,4,2:00,,,C8,Salah,Dary
Not Paid,28,May,WhatsApp,AD01-9364,0,EGP 0,1,2:00,,,B18,Salah,Sahar
Paid,4,Apr,Company Website,AD01-9362,5,"EGP 20,000,000 ",1,2:00,GK,Fndn. L3,C8,Abdullah,Reham
Paid,6,May,Company Website,AD01-9365,2,"EGP 12,000,000 ",1,2:00,GK,Fndn. L3,A2,Mohammed,Mohmed
Paid,12,Jun,Facebook Page,AD01-9363,2,"EGP 12,000,000 ",5,2:00,GK,Fndn. L1,A1,Ahmed,Hany
Paid,11,Aug,WhatsApp,AD01-9362,2,"EGP 12,000,000 ",1,2:00,GK,Pre. L8,B12,Mohammed,Kisho
Paid,2,Oct,Television Ad,AD01-9361,3,"EGP 15,000,000 ",1,2:00,GK,Fndn. L1,A7,Salah,Ahmed
Paid,8,Oct,Television Ad,AD01-9362,3,"EGP 15,000,000 ",4,2:00,GK,Pre. L2,C8,Abdullah,Reham
Paid,17,Nov,Facebook Page,AD01-9361,4,"EGP 11,000,000 ",2,2:00,CNI,KJI. L4,C8,Salah,Jood
Paid,10,Dec,Facebook Page,AD01-9361,4,"EGP 20,000,000 ",1,2:00,GK,KJI. L4,B18,Ahmed,Hany
Paid,17,Dec,Google Ad,AD01-9364,1,"EGP 7,000,000 ",5,2:00,GK,Pre. L4,B18,Ahmed,Khalil
Paid,4,Apr,Company Website,AD01-9362,5,"EGP 20,000,000 ",1,2:00,GK,Fndn. L3,C8,Abdullah,Reham
Paid,6,May,Company Website,AD01-9365,2,"EGP 12,000,000 ",1,2:00,GK,Fndn. L3,A2,Mohammed,Mohmed
Paid,12,Jun,Facebook Page,AD01-9363,2,"EGP 12,000,000 ",5,2:00,GK,Fndn. L1,A1,Ahmed,Hany
Not Paid,2,May,Television Ad,AD01-9362,0,EGP 0,1,2:00,,,B13,Abdullah,Hisham
Not Paid,30,Sep,Television Ad,AD01-9361,0,EGP 0,2,2:00,,,B12,Mohammed,Rony
Not Paid,8,Oct,WhatsApp,AD01-9361,0,EGP 0,1,2:00,,,A1,Salah,Dina
Not Paid,20,Nov,Facebook Page,AD01-9364,0,EGP 0,2,2:00,,,A2,Salah,Dina
Not Paid,2,May,Television Ad,AD01-9362,0,EGP 0,1,2:00,,,B13,Abdullah,Hisham
Paid,10,Jan,Facebook Page,AD01-9362,2,"EGP 12,000,000 ",1,2:00,GK,KJI. L4,A7,Abdullah,Adam
Paid,1,Jan,Facebook Page,AD01-9362,3,"EGP 11,000,000 ",2,2:00,GK,Pre. L4,A7,Salah,John
Paid,11,Feb,Television Ad,AD01-9364,2,"EGP 10,000,000 ",2,2:00,GK,Pre. L3,B18,Ahmed,Khalil
Paid,3,May,Google Ad,AD01-9362,2,"EGP 38,000,000 ",1,2:00,BE,KJI. L4,A1,Abdullah,Hisham
Paid,20,Jul,Company Website,AD01-9362,1,"EGP 19,000,000 ",5,2:00,BE,Fndn. L5,B12,Ahmed,Hany
Paid,11,Aug,Television Ad,AD01-9362,3,"EGP 15,000,000 ",4,2:00,GK,Fndn. L5,C8,Ahmed,Hany
Paid,28,Sep,Facebook Page,AD01-9361,1,"EGP 19,000,000 ",4,2:00,FC,Fndn. L3,B12,Ahmed,Khalil
Paid,30,Sep,Facebook Page,AD01-9362,2,"EGP 38,000,000 ",1,2:00,BE,Fndn. L1,A1,Abdullah,Reham
Paid,11,Sep,Facebook Page,AD01-9362,5,"EGP 25,000,000 ",2,2:00,GK,Fndn. L5,A1,Mohammed,Habib
Paid,12,Sep,Facebook Page,AD01-9362,5,"EGP 25,000,000 ",5,2:00,GK,Pre. L3,A1,Salah,John
Paid,17,Sep,Company Website,AD01-9362,2,"EGP 12,000,000 ",4,2:00,GK,Fndn. L1,B18,Abdullah,Reham
Paid,29,Sep,Facebook Page,AD01-9361,4,"EGP 15,000,000 ",3,2:00,GK,Pre. L8,C8,Salah,Dary
Paid,8,Oct,Company Website,AD01-9361,1,"EGP 7,000,000 ",1,2:00,GK,Pre. L3,B18,Salah,Sahar
Paid,27,Oct,WhatsApp,AD01-9361,1,"EGP 7,000,000 ",1,2:00,GK,KJI. L4,B13,Abdullah,Reham
Paid,2,Nov,WhatsApp,AD01-9361,4,"EGP 20,000,000 ",1,2:00,CNI,Pre. L8,A4,Mohammed,Mohmed
Paid,1,Nov,Company Website,AD01-9363,4,"EGP 20,000,000 ",1,2:00,GK,Pre. L2,C8,Salah,Sahar
Paid,31,Dec,Google Ad,AD01-9362,3,"EGP 12,000,000 ",1,2:00,GK,KJI. L4,A2,Salah,Dary
Paid,30,Dec,Company Website,AD01-9361,2,"EGP 12,000,000 ",1,2:00,GK,KJI. L4,C8,Salah,John
Paid,10,Jan,Facebook Page,AD01-9362,2,"EGP 12,000,000 ",1,2:00,GK,KJI. L4,A7,Abdullah,Adam
Paid,1,Jan,Facebook Page,AD01-9362,3,"EGP 11,000,000 ",2,2:00,GK,Pre. L4,A7,Salah,John
Paid,11,Feb,Television Ad,AD01-9364,2,"EGP 10,000,000 ",2,2:00,GK,Pre. L3,B18,Ahmed,Khalil
Paid,3,May,Google Ad,AD01-9362,2,"EGP 38,000,000 ",1,2:00,BE,KJI. L4,A1,Abdullah,Hisham
Paid,20,Jul,Company Website,AD01-9362,1,"EGP 19,000,000 ",5,2:00,BE,Fndn. L5,B12,Ahmed,Hany
Paid,11,Aug,Television Ad,AD01-9362,3,"EGP 15,000,000 ",4,2:00,GK,Fndn. L5,C8,Ahmed,Hany
Not Paid,5,Apr,Facebook Page,AD01-9364,0,EGP 0,2,2:00,,,B18,Mohammed,Mohmed
Not Paid,22,Oct,Facebook Page,AD01-9364,0,EGP 0,1,2:00,,,B12,Mohammed,Rony
Not Paid,26,Oct,Company Website,AD01-9362,0,EGP 0,1,2:00,,,A4,Salah,Sahar
Not Paid,8,Oct,Facebook Page,AD01-9361,0,EGP 0,5,2:00,,,B18,Salah,John
Not Paid,17,Nov,Television Ad,AD01-9362,0,EGP 0,4,2:00,,,B18,Ahmed,Hany
Not Paid,11,Dec,Company Website,AD01-9361,0,EGP 0,2,2:00,,,C8,Mohammed,Mohmed
Not Paid,22,Dec,Television Ad,AD01-9363,0,EGP 0,2,2:00,,,A2,Mohammed,Habib
Not Paid,1,Dec,Company Website,AD01-9361,0,EGP 0,3,2:00,,,A7,Salah,Dary
Not Paid,5,Apr,Facebook Page,AD01-9364,0,EGP 0,2,2:00,,,B18,Mohammed,Mohmed
Paid,11,Feb,Television Ad,AD01-9364,2,"EGP 12,000,000 ",3,2:10,GK,Pre. L3,B18,Salah,John
Paid,28,Jul,Google Ad,AD01-9362,2,"EGP 12,000,000 ",1,2:10,GK,KJI. L4,B18,Abdullah,Reham
Paid,12,Aug,Company Website,AD01-9361,2,"EGP 38,000,000 ",4,2:10,BE,Fndn. L3,A2,Mohammed,Mohmed
Paid,30,Sep,Youtube Channel,AD01-9362,2,"EGP 12,000,000 ",5,2:10,GK,Fndn. L1,A1,Mohammed,Mohmed
Paid,14,Sep,Youtube Channel,AD01-9362,1,"EGP 7,000,000 ",1,2:10,GK,Pre. L2,B13,Mohammed,Rony
Paid,26,Sep,Google Ad,AD01-9361,4,"EGP 20,000,000 ",2,2:10,GK,Pre. L3,C8,Salah,John
Paid,5,Oct,Company Website,AD01-9362,1,"EGP 19,000,000 ",1,2:10,BE,Fndn. L1,B12,Salah,John
Paid,29,Oct,Company Website,AD01-9361,3,"EGP 15,000,000 ",3,2:10,GK,Pre. L4,A4,Ahmed,Hany
Paid,2,Nov,Television Ad,AD01-9362,4,"EGP 20,000,000 ",4,2:10,CNI,Pre. L2,A4,Mohammed,Mohmed
Paid,25,Nov,Television Ad,AD01-9364,5,"EGP 25,000,000 ",4,2:10,GK,KJI. L4,B18,Salah,Dary
Paid,17,Nov,Facebook Page,AD01-9364,5,"EGP 21,000,000 ",1,2:10,GK,Pre. L4,C8,Ahmed,Khalil
Paid,11,Feb,Television Ad,AD01-9364,2,"EGP 12,000,000 ",3,2:10,GK,Pre. L3,B18,Salah,John
Paid,28,Jul,Google Ad,AD01-9362,2,"EGP 12,000,000 ",1,2:10,GK,KJI. L4,B18,Abdullah,Reham
Paid,12,Aug,Company Website,AD01-9361,2,"EGP 38,000,000 ",4,2:10,BE,Fndn. L3,A2,Mohammed,Mohmed
Not Paid,30,Nov,Television Ad,AD01-9363,0,EGP 0,2,2:10,,,A2,Ahmed,Khalil
Not Paid,11,Nov,WhatsApp,AD01-9361,0,EGP 0,3,2:10,,,A7,Mohammed,Mohmed
Paid,11,Jan,Google Ad,AD01-9364,5,"EGP 25,000,000 ",3,2:12,GK,Pre. L2,A7,Ahmed,Khalil
Paid,15,Jan,Facebook Page,AD01-9362,2,"EGP 12,000,000 ",1,2:12,GK,Fndn. L5,B12,Mohammed,Rony
Paid,14,Feb,Company Website,AD01-9361,2,"EGP 12,000,000 ",1,2:12,GK,Pre. L2,A1,Abdullah,Hisham
Paid,11,Feb,Television Ad,AD01-9362,1,"EGP 7,000,000 ",1,2:12,GK,Fndn. L1,A2,Mohammed,Rony
Paid,1,May,Company Website,AD01-9364,4,"EGP 20,000,000 ",2,2:12,CNI,Fndn. L5,B13,Salah,Dary
Paid,7,May,Company Website,AD01-9362,3,"EGP 15,000,000 ",1,2:12,GK,Pre. L2,B12,Salah,Sahar
Paid,1,May,Facebook Page,AD01-9361,3,"EGP 15,000,000 ",2,2:12,GK,KJI. L4,C8,Mohammed,Mohmed
Paid,6,Jul,Google Ad,AD01-9362,2,"EGP 38,000,000 ",1,2:12,BE,Fndn. L5,A7,Salah,Dina
Paid,31,Aug,Company Website,AD01-9361,1,"EGP 19,000,000 ",2,2:12,BE,KJI. L4,A1,Mohammed,Mohmed
Paid,12,Aug,Company Website,AD01-9362,2,"EGP 10,000,000 ",4,2:12,GK,Pre. L8,A4,Ahmed,Khalil
Paid,28,Sep,Youtube Channel,AD01-9365,5,"EGP 21,000,000 ",3,2:12,GK,Pre. L3,A4,Mohammed,Habib
Paid,2,Sep,Television Ad,AD01-9363,2,"EGP 10,000,000 ",2,2:12,GK,Pre. L2,A1,Mohammed,Rony
